PrimaryKey,zh-tw,en,ja
遊穗,遊穗,Yu-Zui,ゆずぃ
彩希,彩希,Aki,あき
早安,早安,good Morning,おはようございます
早安，你吃早餐了嗎？,早安，你吃早餐了嗎？,"Good morning, you eat breakfast yet?",おはよう、あなたはまだ朝食を食べますか？
我不吃早餐,我不吃早餐,I do not eat breakfast,私は朝食を食べていません
這樣很不健康喔,這樣對身體不好喔,Oh so bad for your health,あなたの健康のためにああそう悪いです
(該......該怎麼辦),(該......該怎麼辦),(The ...... how to do),（......行う方法）
乖乖去吃,乖乖去吃,Obediently eat,素直に食べます
就是不吃,就是不吃,Do not eat,食べません
吃,吃,eat,食べます
太好了！,太好了！,Great!,すばらしいです！
我會乖乖去吃的...,我會乖乖去吃的...,I will obediently eat it ...,私は素直にそれを食べるようになります...
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!